Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.91,1.69,1.91,-2.83,-3.74,-0.81,-0.8
HOTELLING,1.13,1.0,1.15,1.0,0.5,0.55,0.53,0.6
LINEAR,0.47,0.43,0.47,0.43,1.13,1.34,0.53,0.56
