Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.76,1.47,0.7,0.14,0.46,0.63
HOTELLING,1.12,1.0,1.15,1.0,0.57,0.4,0.49,0.6
LINEAR,0.46,0.43,0.47,0.43,0.05,0.02,0.5,0.55
