Model,PSO Avg. Prices,Theo. Prices,DQN Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DQN Extra-profits Δ,PSO RPDI,DQN RPDI
LOGIT,1.69,1.8,1.69,1.8,-0.89,-1.38,-0.39,-0.39
HOTELLING,1.14,1.0,1.13,1.0,0.54,0.52,0.57,0.52
LINEAR,0.44,0.43,0.47,0.43,0.65,0.65,0.16,0.53
