Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.9,1.6,1.9,-3.35,-3.59,-0.81,-1.07
HOTELLING,1.13,1.0,1.16,1.0,0.68,0.4,0.51,0.62
LINEAR,0.44,0.43,0.46,0.43,1.21,1.19,0.14,0.45
