Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.91,1.69,1.91,-2.73,-2.78,-0.82,-0.82
HOTELLING,1.13,1.0,1.13,1.0,0.5,0.49,0.52,0.52
LINEAR,0.47,0.43,0.47,0.43,1.25,1.14,0.51,0.52
