Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.54,1.64,1.54,0.27,-0.05,0.32,0.25
HOTELLING,1.13,1.0,1.13,1.0,0.55,0.4,0.51,0.52
LINEAR,0.44,0.43,0.46,0.43,0.11,-0.02,0.15,0.44
