Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.57,1.91,1.57,1.91,-3.42,-3.49,-1.23,-1.22
HOTELLING,1.06,1.0,1.06,1.0,0.25,0.23,0.25,0.24
LINEAR,0.43,0.43,0.43,0.43,1.12,1.1,0.05,0.05
