Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.54,1.8,1.54,0.77,-0.19,0.36,0.64
HOTELLING,1.13,1.0,1.11,1.0,0.44,0.4,0.5,0.45
LINEAR,0.47,0.43,0.46,0.43,0.05,0.02,0.51,0.5
