Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.54,1.64,1.54,0.28,-0.07,0.32,0.26
HOTELLING,1.13,1.0,1.14,1.0,0.57,0.44,0.53,0.57
LINEAR,0.44,0.43,0.46,0.43,0.1,-0.03,0.15,0.43
