Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.9,1.67,1.9,-2.24,-3.81,-0.88,-0.85
HOTELLING,1.13,1.0,1.14,1.0,0.58,0.42,0.52,0.55
LINEAR,0.44,0.43,0.47,0.43,1.21,1.25,0.14,0.52
