Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.8,1.69,1.8,-1.56,-1.57,-0.39,-0.39
HOTELLING,1.13,1.0,1.13,1.0,0.5,0.47,0.51,0.51
LINEAR,0.47,0.43,0.46,0.43,0.7,0.68,0.51,0.51
