Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.8,1.8,1.78,1.8,-1.52,-1.13,0.02,-0.07
HOTELLING,1.13,1.0,1.13,1.0,0.44,0.46,0.5,0.52
LINEAR,0.47,0.43,0.47,0.43,0.7,0.75,0.57,0.52
