Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.8,1.69,1.8,-1.38,-1.34,-0.37,-0.38
HOTELLING,1.13,1.0,1.13,1.0,0.49,0.47,0.51,0.51
LINEAR,0.47,0.43,0.46,0.43,0.67,0.72,0.51,0.51
