Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.66,1.92,1.58,1.92,-4.11,-4.36,-0.97,-1.28
HOTELLING,1.13,1.0,1.11,1.0,0.52,0.38,0.51,0.46
LINEAR,0.44,0.43,0.46,0.43,1.23,0.93,0.14,0.47
