Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.9,1.7,-2.23,-2.65,-0.75,-0.7
HOTELLING,1.13,1.0,1.14,0.54,0.46,0.51,0.54
LINEAR,0.47,0.43,0.47,1.2,1.26,0.52,0.52
