Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.91,1.7,-2.49,-2.88,-0.82,-0.78
HOTELLING,1.13,1.0,1.13,0.49,0.52,0.52,0.54
LINEAR,0.47,0.43,0.47,1.21,1.25,0.51,0.52
