Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.64,1.91,1.68,1.91,-2.26,-2.85,-0.99,-0.81
HOTELLING,1.13,1.0,1.14,1.0,0.56,0.53,0.53,0.57
LINEAR,0.47,0.43,0.44,0.43,1.27,1.19,0.52,0.14
