Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.62,1.8,1.68,1.8,-0.95,-1.66,-0.61,-0.39
HOTELLING,1.13,1.0,1.14,1.0,0.54,0.5,0.5,0.58
LINEAR,0.47,0.43,0.44,0.43,0.7,0.68,0.54,0.14
