Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.6,1.47,1.68,1.47,0.71,0.28,0.29,0.47
HOTELLING,1.09,1.0,1.14,1.0,0.58,0.33,0.36,0.57
LINEAR,0.44,0.43,0.44,0.43,0.01,0.02,0.15,0.14
