Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.56,1.9,1.57,1.9,-3.15,-3.18,-1.19,-1.16
HOTELLING,1.06,1.0,1.06,1.0,0.26,0.21,0.24,0.23
LINEAR,0.43,0.43,0.43,0.43,0.89,0.98,0.05,0.05
