Model,PSO Avg. Prices,Theo. Prices,DQN Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DQN Extra-profits Δ,PSO RPDI,DQN RPDI
LOGIT,1.69,1.9,1.69,1.9,-2.03,-2.41,-0.78,-0.76
HOTELLING,1.14,1.0,1.13,1.0,0.52,0.55,0.57,0.53
LINEAR,0.44,0.43,0.47,0.43,1.09,1.19,0.16,0.52
