Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.68,1.8,1.59,1.8,-2.14,-1.98,-0.42,-0.72
HOTELLING,1.12,1.0,1.12,1.0,0.47,0.43,0.5,0.47
LINEAR,0.44,0.43,0.48,0.43,0.66,0.66,0.14,0.66
