Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.78,1.8,1.77,1.8,-1.54,-1.36,-0.06,-0.1
HOTELLING,1.16,1.0,1.14,1.0,0.46,0.59,0.63,0.54
LINEAR,0.47,0.43,0.47,0.43,0.73,0.67,0.58,0.54
