Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.68,1.54,1.78,1.54,0.67,-0.14,0.36,0.59
HOTELLING,1.12,1.0,1.09,1.0,0.38,0.37,0.5,0.37
LINEAR,0.46,0.43,0.46,0.43,0.06,-0.02,0.51,0.42
