Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.84,1.47,1.01,0.02,0.46,0.81
HOTELLING,1.12,1.0,1.15,1.0,0.6,0.38,0.47,0.62
LINEAR,0.46,0.43,0.46,0.43,0.03,0.03,0.48,0.4
