Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.69,1.9,1.74,1.9,-2.07,-3.86,-0.8,-0.6
HOTELLING,1.13,1.0,1.12,1.0,0.54,0.38,0.51,0.49
LINEAR,0.46,0.43,0.47,0.43,1.6,0.95,0.5,0.61
