Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.68,1.47,1.65,1.47,0.47,0.2,0.45,0.39
HOTELLING,1.13,1.0,1.13,1.0,0.54,0.43,0.52,0.53
LINEAR,0.44,0.43,0.46,0.43,0.06,-0.03,0.16,0.39
