Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.73,1.9,1.7,1.9,-3.67,-3.1,-0.6,-0.75
HOTELLING,1.14,1.0,1.13,1.0,0.5,0.51,0.58,0.53
LINEAR,0.46,0.43,0.47,0.43,1.16,1.22,0.5,0.57
