Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.69,1.79,1.76,1.79,-0.68,-2.25,-0.36,-0.13
HOTELLING,1.12,1.0,1.13,1.0,0.52,0.41,0.49,0.54
LINEAR,0.46,0.43,0.47,0.43,0.73,0.65,0.5,0.54
