Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.54,1.76,1.54,0.65,-0.1,0.37,0.56
HOTELLING,1.13,1.0,1.1,1.0,0.4,0.4,0.51,0.42
LINEAR,0.47,0.43,0.46,0.43,0.04,0.1,0.51,0.48
