Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.54,1.75,1.54,0.56,-0.08,0.35,0.52
HOTELLING,1.12,1.0,1.12,1.0,0.46,0.38,0.49,0.48
LINEAR,0.46,0.43,0.47,0.43,0.05,-0.02,0.49,0.61
