Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.66,1.47,1.69,1.47,0.55,0.5,0.4,0.48
HOTELLING,1.12,1.0,1.14,1.0,0.54,0.48,0.49,0.57
LINEAR,0.46,0.43,0.44,0.43,-0.01,0.07,0.48,0.16
