Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.69,1.79,1.73,1.79,-0.88,-2.17,-0.36,-0.2
HOTELLING,1.12,1.0,1.12,1.0,0.44,0.42,0.48,0.47
LINEAR,0.46,0.43,0.47,0.43,0.7,0.72,0.49,0.54
