Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.68,1.54,1.77,1.54,0.65,-0.12,0.36,0.58
HOTELLING,1.13,1.0,1.09,1.0,0.32,0.44,0.5,0.37
LINEAR,0.47,0.43,0.46,0.43,0.01,0.07,0.51,0.41
