Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.68,1.54,1.68,1.54,0.31,0.26,0.35,0.36
HOTELLING,1.12,1.0,1.12,1.0,0.43,0.48,0.49,0.49
LINEAR,0.46,0.43,0.46,0.43,0.01,-0.01,0.5,0.49
