Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.8,1.7,-1.39,-1.53,-0.38,-0.35
HOTELLING,1.13,1.0,1.13,0.5,0.48,0.5,0.54
LINEAR,0.46,0.43,0.47,0.68,0.67,0.51,0.52
