Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.9,1.69,1.9,-2.43,-3.47,-0.78,-0.76
HOTELLING,1.13,1.0,1.13,1.0,0.64,0.32,0.51,0.53
LINEAR,0.46,0.43,0.47,0.43,1.07,1.36,0.51,0.56
