Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.67,1.92,1.69,1.92,-2.88,-3.01,-0.97,-0.88
HOTELLING,1.13,1.0,1.14,1.0,0.47,0.58,0.51,0.57
LINEAR,0.47,0.43,0.44,0.43,1.4,1.08,0.52,0.16
