Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.7,1.8,1.7,1.8,-1.26,-1.22,-0.33,-0.34
HOTELLING,1.13,1.0,1.13,1.0,0.5,0.52,0.54,0.54
LINEAR,0.47,0.43,0.47,0.43,0.72,0.71,0.52,0.52
