Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.8,1.7,-1.28,-1.44,-0.38,-0.34
HOTELLING,1.13,1.0,1.13,0.49,0.49,0.51,0.54
LINEAR,0.47,0.43,0.47,0.69,0.73,0.52,0.52
