Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.8,1.79,1.8,-0.37,-2.49,-0.38,-0.01
HOTELLING,1.13,1.0,1.11,1.0,0.43,0.44,0.53,0.44
LINEAR,0.47,0.43,0.47,0.43,0.66,0.75,0.52,0.61
