Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.8,1.77,1.8,-0.76,-2.61,-0.45,-0.12
HOTELLING,1.12,1.0,1.15,1.0,0.54,0.45,0.49,0.6
LINEAR,0.46,0.43,0.47,0.43,0.67,0.73,0.5,0.58
