Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.67,1.9,1.69,1.9,-2.31,-2.24,-0.88,-0.8
HOTELLING,1.13,1.0,1.14,1.0,0.48,0.58,0.52,0.57
LINEAR,0.47,0.43,0.44,0.43,1.1,1.19,0.52,0.16
