Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.79,1.76,1.79,-0.59,-2.29,-0.37,-0.1
HOTELLING,1.13,1.0,1.15,1.0,0.57,0.44,0.52,0.59
LINEAR,0.47,0.43,0.47,0.43,0.75,0.71,0.52,0.58
