Model,Q Avg. Prices,Theo. Prices,DQN Avg. Prices,Q Δ,DQN Δ,Q RPDI,DQN RPDI
LOGIT,1.69,1.9,1.7,-2.42,-2.33,-0.74,-0.72
HOTELLING,1.13,1.0,1.14,0.49,0.52,0.52,0.54
LINEAR,0.46,0.43,0.47,1.33,1.06,0.5,0.52
