Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.63,1.54,1.64,1.54,0.2,0.15,0.23,0.25
HOTELLING,1.12,1.0,1.12,1.0,0.44,0.42,0.47,0.47
LINEAR,0.46,0.43,0.46,0.43,0.11,0.09,0.48,0.49
