Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.64,1.47,1.66,1.47,0.47,0.39,0.38,0.42
HOTELLING,1.11,1.0,1.13,1.0,0.48,0.4,0.44,0.51
LINEAR,0.46,0.43,0.46,0.43,0.04,0.04,0.48,0.48
