Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.64,1.8,1.65,1.8,-1.61,-1.74,-0.54,-0.51
HOTELLING,1.12,1.0,1.14,1.0,0.51,0.47,0.5,0.54
LINEAR,0.47,0.43,0.47,0.43,0.74,0.74,0.52,0.56
