Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices.1,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.63,1.47,1.63,1.47,0.36,0.36,0.36,0.36
HOTELLING,1.12,1.0,1.12,1.0,0.43,0.44,0.48,0.47
LINEAR,0.46,0.43,0.46,0.43,0.55,0.51,0.48,0.49
