Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.58,1.88,1.57,1.88,-2.9,-2.9,-1.07,-1.08
HOTELLING,1.06,1.0,1.06,1.0,0.17,0.32,0.26,0.24
LINEAR,0.43,0.43,0.43,0.43,0.92,1.07,0.07,0.07
