Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.74,1.8,1.83,1.8,-0.87,-2.06,-0.21,0.11
HOTELLING,1.14,1.0,1.13,1.0,0.46,0.51,0.57,0.53
LINEAR,0.47,0.43,0.47,0.43,0.71,0.7,0.52,0.57
