Model,Q Avg. Prices,Theo. Prices,PSO Avg. Prices,Theo. Prices ,Q Extra-profits Δ,PSO Extra-profits Δ,Q RPDI,PSO RPDI
LOGIT,1.67,1.79,1.69,1.79,-1.02,-1.04,-0.43,-0.35
HOTELLING,1.13,1.0,1.14,1.0,0.54,0.52,0.51,0.57
LINEAR,0.47,0.43,0.44,0.43,0.66,0.67,0.52,0.16
