Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.92,1.71,1.92,-2.9,-4.23,-0.9,-0.81
HOTELLING,1.12,1.0,1.14,1.0,0.56,0.43,0.49,0.56
LINEAR,0.46,0.43,0.46,0.43,1.32,1.25,0.5,0.46
