Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.68,1.47,1.68,1.47,0.46,0.46,0.47,0.47
HOTELLING,1.12,1.0,1.12,1.0,0.45,0.46,0.5,0.49
LINEAR,0.46,0.43,0.46,0.43,0.04,0.04,0.49,0.49
