Model,DQN Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,DQN Extra-profits Δ,DDPG Extra-profits Δ,DQN RPDI,DDPG RPDI
LOGIT,1.69,1.54,1.83,1.54,0.95,-0.22,0.37,0.72
HOTELLING,1.13,1.0,1.13,1.0,0.48,0.43,0.5,0.53
LINEAR,0.47,0.43,0.47,0.43,0.07,-0.02,0.52,0.57
