Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Extra-profits Δ
LOGIT,0.6,1.47,0.61,1.47,-5.44
HOTELLING,0.6,1.0,0.61,1.0,-3.08
LINEAR,0.6,0.43,0.61,0.43,-3.1
