Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.83,1.79,1.75,1.79,-1.7,-0.8,0.1,-0.15
HOTELLING,1.13,1.0,1.11,1.0,0.38,0.42,0.51,0.42
LINEAR,0.46,0.43,0.47,0.43,0.67,0.73,0.44,0.57
