Model,Q Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,Q Extra-profits Δ,DDPG Extra-profits Δ,Q RPDI,DDPG RPDI
LOGIT,1.68,1.54,1.81,1.54,0.81,-0.24,0.34,0.68
HOTELLING,1.12,1.0,1.11,1.0,0.4,0.37,0.47,0.42
LINEAR,0.46,0.43,0.47,0.43,-0.01,0.03,0.49,0.59
