Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.69,1.9,1.69,1.9,-2.57,-2.59,-0.77,-0.76
HOTELLING,1.13,1.0,1.13,1.0,0.49,0.5,0.52,0.52
LINEAR,0.47,0.43,0.47,0.43,1.18,1.28,0.51,0.52
