Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.7,1.79,1.7,1.79,-1.35,-1.3,-0.33,-0.33
HOTELLING,1.14,1.0,1.14,1.0,0.48,0.54,0.54,0.54
LINEAR,0.47,0.43,0.47,0.43,0.72,0.74,0.53,0.53
