Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.58,1.79,1.58,1.79,-1.7,-1.69,-0.73,-0.74
HOTELLING,1.06,1.0,1.06,1.0,0.28,0.22,0.26,0.25
LINEAR,0.43,0.43,0.43,0.43,0.55,0.58,0.06,0.06
