Model,PSO Avg. Prices,Theo. Prices,DDPG Avg. Prices,Theo. Prices ,PSO Extra-profits Δ,DDPG Extra-profits Δ,PSO RPDI,DDPG RPDI
LOGIT,1.67,1.8,1.58,1.8,-2.2,-2.16,-0.44,-0.74
HOTELLING,1.13,1.0,1.13,1.0,0.54,0.41,0.5,0.53
LINEAR,0.44,0.43,0.48,0.43,0.66,0.65,0.15,0.67
