Model,Firm 1 Avg. Prices,Theo. Prices,Firm 2 Avg. Prices,Theo. Prices ,Firm 1 Extra-profits Δ,Firm 2 Extra-profits Δ,Firm 1 RPDI,Firm 2 RPDI
LOGIT,1.66,1.47,1.65,1.47,0.4,0.41,0.4,0.4
HOTELLING,1.11,1.0,1.11,1.0,0.41,0.42,0.45,0.45
LINEAR,0.46,0.43,0.46,0.43,0.03,0.04,0.41,0.4
