Model,DQN1 Avg. Prices,Theo. Prices,DQN2 Avg. Prices,Theo. Prices.1,DQN1 Extra-profits Δ,DQN2 Extra-profits Δ,DQN1 RPDI,DQN2 RPDI
LOGIT,1.59,1.8,1.63,1.8,-1.64,-2.26,-0.7,-0.58
HOTELLING,1.21,1.0,1.21,1.0,0.82,0.81,0.83,0.83
LINEAR,0.46,0.43,0.46,0.43,0.44,0.44,0.5,0.48
